n,t,numerik_x0.3,analitik_x0.3,selisih_abs,persen_error
0,0.0,0.6000000000000001,0.5999999999703429,2.965716561220688e-11,4.942860935612132e-09
1,0.001,0.6000000000000001,0.59999985772219,1.4227781008901985e-07,2.3712973971219986e-05
2,0.002,0.6000000000000001,0.5999461315749994,5.386842500065825e-05,0.00897887696337686
3,0.003,0.5996000000000001,0.5995197279427867,8.027205721339303e-05,0.01338939378839816
4,0.004,0.5986400000000002,0.5984229414214461,0.0002170585785540302,0.036271767596082895
5,0.005,0.5970880000000002,0.5966037189532682,0.00048428104673192696,0.0811729849055568
6,0.006,0.5949760000000002,0.5941387429915701,0.0008372570084300701,0.1409194431950972
7,0.007,0.5923642000000001,0.5911381206716443,0.0012260793283558336,0.20740995809283563
8,0.008,0.5893216080000001,0.5877073535585497,0.001614254441450358,0.2746697708776481
9,0.009000000000000001,0.5859160692000001,0.5839363135416886,0.001979755658311433,0.33903622919147214
10,0.01,0.58220960424,0.5798981840648518,0.002311420175148182,0.3985906903425807
11,0.011,0.57825665752,0.5756515076284562,0.002605149891543812,0.45255677385027515
12,0.012,0.574103872752,0.5712428458000329,0.002861026951967105,0.5008425003485515
13,0.013000000000000001,0.56979061183084,0.5667092307366849,0.0030813810941551223,0.5437322928637546
14,0.014,0.565349783281176,0.562080199170047,0.003269584111128987,0.5816935227315906
15,0.015,0.5608087490415852,0.5573794100449838,0.003429338996601361,0.6152611551123844
16,0.016,0.5561901937034428,0.5526259083346998,0.003564285368742981,0.6449725420010998
17,0.017,0.5515129046358951,0.5478351059577298,0.0036777986781653116,0.6713331508275202
18,0.018000000000000002,0.5467924461447408,0.543019542319311,0.0037729038254297187,0.6948007449815026
19,0.019,0.5420417286014385,0.5381894749903449,0.003852253611093648,0.7157801833941024
20,0.02,0.537271481770252,0.5333533398616825,0.003918141908569428,0.734624050462596
21,0.021,0.5324906446754095,0.528518110935146,0.0039725337402635175,0.7516362558010777
22,0.022,0.52770668476439,0.5236895827523214,0.0040171020120686185,0.7670769372490085
23,0.023,0.5229258582355215,0.5188725929963451,0.0040532652391763735,0.7811677266995145
24,0.024,0.5181534219762036,0.5140711986643719,0.004082223311831723,0.794096872658477
25,0.025,0.5133938060083314,0.5092888160810369,0.004104989927294467,0.8060239686553984
26,0.026000000000000002,0.5086507538609867,0.5045283326547078,0.004122421206278926,0.8170841832782171
27,0.027,0.5039274369747374,0.49979219647810313,0.004135240496634274,0.8273919692572564
28,0.028,0.49922654811388406,0.49508248850087105,0.004144059613013007,0.8370442722709462
29,0.029,0.4945503778189822,0.4904009809486797,0.004149396870302524,0.8461232810496269
30,0.03,0.48990087715427566,0.48574918485315394,0.004151692301121723,0.8546987685376796
31,0.031,0.4852797093706823,0.48112838893139975,0.004151320439282569,0.8628300750456178
32,0.032,0.48068829259174994,0.4765396915693277,0.00414860102242226,0.8705677818274065
33,0.033,0.4761278352164701,0.47198402728667815,0.004143807929791965,0.8779551192894626
34,0.034,0.4715993654006425,0.4674621887686847,0.004137176631957784,0.885029149171462
35,0.035,0.46710375571210255,0.46297484532074357,0.004128910391358986,0.8918217551319716
36,0.036000000000000004,0.46264174384173307,0.45852255842377343,0.0041191854179596366,0.8983604715370676
37,0.037,0.4582139500812883,0.4541057949280115,0.004108155153276782,0.9046691760293524
38,0.038,0.4538208921421843,0.4497249383131927,0.004095953828991583,0.910768667700416
39,0.039,0.4494629977797279,0.4453802983567655,0.00408269942296241,0.9166771493991911
40,0.04,0.44514061559929596,0.44107211948384173,0.004068496115454234,0.9224106298569342
41,0.041,0.4408540243503649,0.43680058801897215,0.004053436331392768,0.9279832588542005
42,0.042,0.4366034409575432,0.4325658385174536,0.004037602440089605,0.933407606557144
43,0.043000000000000003,0.4323890274920847,0.42836795932029603,0.004021068171788655,0.9386948963617638
44,0.044,0.42821089725055045,0.42420699745029966,0.0040038998002507875,0.9438551990693852
45,0.045,0.42406912007756786,0.42008296294545827,0.003986157132109591,0.9488975949322507
46,0.046,0.4199637270455946,0.41599583270891966,0.0039678943366749375,0.9538303090289248
47,0.047,0.4158947145851172,0.4119455539411455,0.003949160643971661,0.9586608245166001
48,0.048,0.4118620481428883,0.40793204720896054,0.0039300009339277575,0.9633959775449169
49,0.049,0.4078656654329273,0.4039552091973471,0.003910456235580173,0.968042036974889
50,0.05,0.4039054793344938,0.40001491518266824,0.0038905641518255374,0.9726047715118066
51,0.051000000000000004,0.3999813804826383,0.3961110212601586,0.0038703592224796912,0.9770895064133317
52,0.052000000000000005,0.39609323958987114,0.3922433663537343,0.003849873236136836,0.98150117156218
53,0.053,0.39224090953167046,0.38841177403222366,0.0038291354994468008,0.9858443423831754
54,0.054,0.3884242272237445,0.38461605415286,0.0038081730708844908,0.9901232748259094
55,0.055,0.3846430153149724,0.380856004350146,0.0037870109648264205,0.9943419354220742
56,0.056,0.3808970837166297,0.3771314113859203,0.003765672330709402,0.9985040272489984
57,0.057,0.37718623098572396,0.3734420523745276,0.003744178611196358,1.0026130124845436
58,0.058,0.3735102455779379,0.36978769589535854,0.003722549682579346,1.0066721321178687
59,0.059000000000000004,0.3698689069837075,0.36616810300362596,0.003700803980081546,1.0106844232811014
60,0.06,0.36626198675929755,0.3625830281490466,0.003678958610250971,1.0146527345837781
61,0.061,0.36268924946331726,0.3590322200110529,0.003657029452264371,1.018579739765915
62,0.062,0.359150453507905,0.3555154222582634,0.003635031249641596,1.0224679499279037
63,0.063,0.35564535193276897,0.3520323742391453,0.0036129776936236757,1.0263197245516062
64,0.064,0.35217369310936886,0.348582811610113,0.003590881499255849,1.0301372814882854
65,0.065,0.34873522138174273,0.3451664669066944,0.0035687544750483413,1.0339227060585376
66,0.066,0.3453296776498033,0.3417830700628522,0.0035466075869511338,1.0376779593848608
67,0.067,0.3419567999003309,0.3384323488830702,0.003524451017260677,1.0414048860554963
68,0.068,0.3386163236903674,0.335114029471379,0.0035022942189884,1.0451052212027785
69,0.069,0.33530798258725425,0.33182783662111287,0.003480145966141379,1.0487805970645778
70,0.07,0.332031508569147,0.32857349416884535,0.0034580144003016344,1.0524325490858526
71,0.07100000000000001,0.3287866323894769,0.3253507253156343,0.0034359070738426145,1.056062521609355
72,0.07200000000000001,0.32557308390850537,0.32215925291843195,0.0034138309900734187,1.0596718731955133
73,0.073,0.3223905923948263,0.31899879975425777,0.0033917926405685472,1.0632618816062727
74,0.074,0.3192388867994139,0.315869088759504,0.0033697980399099436,1.066833748482314
75,0.075,0.31611769600457734,0.31276984324653356,0.003347852758043779,1.0703886037391757
76,0.076,0.31302674904997485,0.30970078709954385,0.003325961950431,1.073927509703736
77,0.077,0.30996577533764913,0.3066616449514928,0.0033041303861563454,1.0774514650108875
78,0.078,0.3069345048178744,0.3036521423437337,0.0032823624741406543,1.0809614082765224
79,0.079,0.3039326681574492,0.30067200586985726,0.00326066228759192,1.0844582215622904
80,0.08,0.30095999689192876,0.29772096330511194,0.0032390335868168196,1.0879427336453216
81,0.081,0.2980162235631611,0.29479874372265685,0.003217479840504245,1.091415723104713
82,0.082,0.29510108184337513,0.2919050775977896,0.0031960042455855264,1.0948779212361763
83,0.083,0.29221430664696235,0.28903969690119735,0.003174609745765,1.0983300148042223
84,0.084,0.28935563423099714,0.2862023351821859,0.003153299048811231,1.1017726486417228
85,0.085,0.28652480228545196,0.283392727642763,0.0031320746426889423,1.1052064281046576
86,0.08600000000000001,0.28372155001398275,0.28061061120337244,0.0031109388106103086,1.108631921390762
87,0.08700000000000001,0.28094561820608677,0.27785572456101343,0.0030898936450733383,1.1120496617282538
88,0.088,0.2781967493013678,0.27512780824040944,0.003068941060958341,1.1154601494432252
89,0.089,0.27547468744658093,0.27242660463884183,0.0030480828077391053,1.118863853910294
90,0.09,0.2727791785460743,0.26975185806520313,0.0030273204808711762,1.1222612153942706
91,0.091,0.2701099703061923,0.26710331477378335,0.003006655532408975,1.1256526467877754
92,0.092,0.2674668122741587,0.264480722993256,0.002986089280902715,1.1290385352503962
93,0.093,0.26484945587191344,0.2618838329512902,0.0029656229206232454,1.1324192437548615
94,0.094,0.26225765442533944,0.25931239689518126,0.002945257530158174,1.1357951125447736
95,0.095,0.2596911631892768,0.25676616910885475,0.002924994080422072,1.1391664605090694
96,0.096,0.2571497393686914,0.2542449059265726,0.0029048334421187816,1.1425335864773292
97,0.097,0.2546331421363314,0.2517483657436396,0.0028847763926918013,1.1458967704399823
98,0.098,0.2521411326471806,0.2492763090243818,0.0028648236227987733,1.149256274698196
99,0.099,0.24967347404998838,0.24682849830764864,0.002844975742339745,1.152612344946388
100,0.1,0.24722993149613653,0.24440469821006602,0.002825233286070511,1.1559652112915688
