n,t,x=0.0,x=0.1,x=0.2,x=0.3,x=0.4,x=0.5,x=0.6,x=0.7,x=0.8,x=0.9,x=1.0
0,0.0,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,0.7999999999999998,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
1,0.001,0.0,0.2,0.4,0.6000000000000001,0.8,0.96,0.7999999999999998,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
2,0.002,0.0,0.2,0.4,0.6000000000000001,0.796,0.9279999999999999,0.7959999999999998,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
3,0.003,0.0,0.2,0.4,0.5996000000000001,0.7896000000000001,0.9016,0.7895999999999999,0.5995999999999999,0.3999999999999999,0.19999999999999996,0.0
4,0.004,0.0,0.2,0.39996000000000004,0.5986400000000002,0.7818,0.8792,0.7817999999999998,0.59864,0.3999599999999999,0.19999999999999996,0.0
5,0.005,0.0,0.199996,0.3998320000000001,0.5970880000000002,0.773224,0.8597199999999999,0.7732239999999999,0.597088,0.3998319999999999,0.19999599999999995,0.0
6,0.006,0.0,0.19998000000000002,0.3995740000000001,0.5949760000000002,0.76426,0.8424208,0.7642599999999999,0.594976,0.39957399999999993,0.19997999999999996,0.0
7,0.007,0.0,0.19994140000000002,0.3991548000000001,0.5923642000000001,0.7551476800000001,0.82678864,0.75514768,0.5923641999999999,0.3991547999999999,0.19994139999999996,0.0
8,0.008,0.0,0.19986860000000004,0.3985544000000001,0.5893216080000001,0.746033428,0.812460448,0.7460334279999999,0.5893216079999999,0.3985543999999999,0.19986859999999995,0.0
9,0.009000000000000001,0.0,0.19975032000000004,0.39776254080000006,0.5859160692000001,0.737004948,0.799175044,0.7370049479999999,0.5859160692,0.3977625407999999,0.19975031999999995,0.0
10,0.01,0.0,0.19957651008000005,0.39677667156000007,0.58220960424,0.72811306972,0.7867410248,0.7281130697199999,0.5822096042399999,0.3967766715599999,0.19957651007999996,0.0
11,0.011,0.0,0.19933887522000004,0.39559994868000004,0.57825665752,0.71938551868,0.775015433784,0.7193855186799999,0.5782566575199999,0.3955999486799999,0.19933887521999996,0.0
12,0.012,0.0,0.19903109504400004,0.394239512218,0.574103872752,0.7108356240744,0.7638894507631999,0.7108356240743999,0.5741038727519999,0.3942395122179999,0.19903109504399996,0.0
13,0.013000000000000001,0.0,0.19864882725700003,0.39270510655400004,0.56979061183084,0.70246783161104,0.75327868542544,0.70246783161104,0.5697906118308399,0.3927051065539999,0.19864882725699995,0.0
