n,t,numerik_x0.3,analitik_x0.3,selisih_abs,persen_error
0,0.0,0.6000000000000001,0.5999999999703429,2.965716561220688e-11,4.942860935612132e-09
1,0.005,0.6000000000000001,0.5966037189532682,0.0033962810467318416,0.5692691712835051
2,0.01,0.6000000000000001,0.5798981840648518,0.02010181593514826,3.466438848668685
3,0.015,0.55,0.5573794100449838,0.00737941004498377,1.3239473708560938
4,0.02,0.55,0.5333533398616825,0.016646660138317504,3.121131695291263
5,0.025,0.5000000000000001,0.5092888160810369,0.009288816081036821,1.823879847296471
6,0.03,0.5000000000000001,0.48574918485315394,0.014250815146846174,2.933780558201928
7,0.035,0.45312500000000006,0.46297484532074357,0.009849845320743511,2.127511984786053
8,0.04,0.4531250000000001,0.44107211948384173,0.012052880516158382,2.7326325976493577
9,0.045,0.41015625000000006,0.42008296294545827,0.009926712945458216,2.363036309746048
10,0.05,0.4101562500000001,0.40001491518266824,0.01014133481733187,2.5352391704446307
11,0.055,0.37109375000000006,0.380856004350146,0.009762254350145938,2.563240237423395
12,0.06,0.37109375000000006,0.3625830281490466,0.008510721850953473,2.347247717136661
13,0.065,0.33569335937500006,0.3451664669066944,0.009473107531694336,2.7445040118150037
14,0.07,0.33569335937500006,0.32857349416884535,0.007119865206154707,2.1669018750782114
15,0.075,0.30364990234375006,0.31276984324653356,0.009119940902783508,2.915863245675807
16,0.08,0.30364990234375006,0.29772096330511194,0.005928939038638115,1.9914415742911555
17,0.085,0.27465820312500006,0.283392727642763,0.008734524517762965,3.08212726219759
18,0.09,0.27465820312500006,0.26975185806520313,0.004906345059796924,1.818836428037128
19,0.095,0.24843215942382818,0.25676616910885475,0.008334009685026567,3.245758471200076
20,0.1,0.2484321594238282,0.24440469821006602,0.004027461213762185,1.6478657093165119
