n,t,x=0.0,x=0.1,x=0.2,x=0.3,x=0.4,x=0.5,x=0.6,x=0.7,x=0.8,x=0.9,x=1.0
0,0.0,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,0.7999999999999998,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
1,0.005,0.0,0.2,0.4,0.6000000000000001,0.8,0.8,0.7999999999999999,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
2,0.01,0.0,0.2,0.4,0.6000000000000001,0.7000000000000001,0.8,0.7,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
3,0.015,0.0,0.2,0.4,0.55,0.7000000000000001,0.7000000000000001,0.7,0.5499999999999999,0.3999999999999999,0.19999999999999996,0.0
4,0.02,0.0,0.2,0.375,0.55,0.6250000000000001,0.7000000000000001,0.625,0.5499999999999999,0.37499999999999994,0.19999999999999996,0.0
5,0.025,0.0,0.1875,0.375,0.5000000000000001,0.6250000000000001,0.6250000000000001,0.625,0.5,0.37499999999999994,0.18749999999999997,0.0
6,0.03,0.0,0.1875,0.34375000000000006,0.5000000000000001,0.5625000000000001,0.6250000000000001,0.5625000000000001,0.5,0.34375,0.18749999999999997,0.0
7,0.035,0.0,0.17187500000000003,0.34375000000000006,0.45312500000000006,0.5625000000000001,0.5625000000000001,0.5625000000000001,0.45312500000000006,0.34375,0.171875,0.0
8,0.04,0.0,0.17187500000000003,0.31250000000000006,0.4531250000000001,0.5078125000000001,0.5625000000000001,0.5078125000000001,0.45312500000000006,0.31250000000000006,0.171875,0.0
9,0.045,0.0,0.15625000000000003,0.31250000000000006,0.41015625000000006,0.5078125000000001,0.5078125000000001,0.5078125000000001,0.4101562500000001,0.31250000000000006,0.15625000000000003,0.0
10,0.05,0.0,0.15625000000000003,0.28320312500000006,0.4101562500000001,0.45898437500000006,0.5078125000000001,0.4589843750000001,0.4101562500000001,0.28320312500000006,0.15625000000000003,0.0
11,0.055,0.0,0.14160156250000003,0.28320312500000006,0.37109375000000006,0.4589843750000001,0.45898437500000006,0.4589843750000001,0.3710937500000001,0.28320312500000006,0.14160156250000003,0.0
12,0.06,0.0,0.14160156250000003,0.25634765625000006,0.37109375000000006,0.41503906250000006,0.4589843750000001,0.4150390625000001,0.3710937500000001,0.25634765625000006,0.14160156250000003,0.0
13,0.065,0.0,0.12817382812500003,0.25634765625000006,0.33569335937500006,0.41503906250000006,0.41503906250000006,0.4150390625000001,0.3356933593750001,0.25634765625000006,0.12817382812500003,0.0
14,0.07,0.0,0.12817382812500003,0.23193359375000003,0.33569335937500006,0.37536621093750006,0.41503906250000006,0.3753662109375001,0.3356933593750001,0.23193359375000008,0.12817382812500003,0.0
15,0.075,0.0,0.11596679687500001,0.23193359375000006,0.30364990234375006,0.37536621093750006,0.3753662109375001,0.3753662109375001,0.3036499023437501,0.23193359375000008,0.11596679687500004,0.0
16,0.08,0.0,0.11596679687500003,0.20980834960937503,0.30364990234375006,0.3395080566406251,0.3753662109375001,0.3395080566406251,0.3036499023437501,0.20980834960937508,0.11596679687500004,0.0
17,0.085,0.0,0.10490417480468751,0.20980834960937506,0.27465820312500006,0.3395080566406251,0.3395080566406251,0.3395080566406251,0.2746582031250001,0.20980834960937508,0.10490417480468754,0.0
18,0.09,0.0,0.10490417480468753,0.18978118896484378,0.27465820312500006,0.3070831298828126,0.3395080566406251,0.3070831298828126,0.2746582031250001,0.18978118896484383,0.10490417480468754,0.0
19,0.095,0.0,0.09489059448242189,0.1897811889648438,0.24843215942382818,0.3070831298828126,0.3070831298828126,0.3070831298828126,0.24843215942382824,0.18978118896484383,0.09489059448242192,0.0
20,0.1,0.0,0.0948905944824219,0.17166137695312503,0.2484321594238282,0.2777576446533204,0.3070831298828126,0.2777576446533204,0.24843215942382824,0.17166137695312508,0.09489059448242192,0.0
