n,t,numerik_x0.3,analitik_x0.3,selisih_abs,persen_error
0,0.0,0.6000000000000001,0.5999999999703429,2.965716561220688e-11,4.942860935612132e-09
1,0.01,0.6,0.5798981840648518,0.02010181593514815,3.4664388486686653
2,0.02,0.6000000000000001,0.5333533398616825,0.06664666013831755,12.49578003122684
3,0.03,0.20000000000000007,0.48574918485315394,0.28574918485315387,58.826487776719226
4,0.04,1.3999999999999995,0.44107211948384173,0.9589278805161577,217.40840968101298
5,0.05,-2.599999999999997,0.40001491518266824,3.0000149151826654,749.9757637318843
6,0.06,9.399999999999991,0.3625830281490466,9.037416971850945,2492.5096516475514
7,0.07,-26.59999999999996,0.32857349416884535,26.928573494168806,8195.601280099276
8,0.08,79.79999999999984,0.29772096330511194,79.50227903669473,26703.621456181703
9,0.09,-233.39999999999952,0.26975185806520313,233.66975185806473,86623.96379178348
10,0.1,684.5999999999982,0.24440469821006602,684.3555953017882,280009.1816212077
