n,t,x=0.0,x=0.1,x=0.2,x=0.3,x=0.4,x=0.5,x=0.6,x=0.7,x=0.8,x=0.9,x=1.0
0,0.0,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,0.7999999999999998,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
1,0.01,0.0,0.2,0.4,0.6,0.8,0.6,0.8,0.5999999999999999,0.3999999999999999,0.19999999999999996,0.0
2,0.02,0.0,0.2,0.3999999999999999,0.6000000000000001,0.40000000000000013,1.0,0.4,0.6000000000000001,0.3999999999999999,0.19999999999999996,0.0
3,0.03,0.0,0.1999999999999999,0.40000000000000013,0.20000000000000007,1.1999999999999997,-0.1999999999999995,1.1999999999999997,0.19999999999999996,0.40000000000000013,0.19999999999999996,0.0
4,0.04,0.0,0.20000000000000023,0.0,1.3999999999999995,-1.1999999999999984,2.5999999999999988,-1.1999999999999984,1.3999999999999997,-1.1102230246251565e-16,0.20000000000000018,0.0
5,0.05,0.0,-0.20000000000000012,1.5999999999999992,-2.599999999999997,5.199999999999995,-4.999999999999994,5.199999999999995,-2.599999999999997,1.5999999999999996,-0.20000000000000018,0.0
6,0.06,0.0,1.799999999999999,-4.399999999999995,9.399999999999991,-12.79999999999998,15.39999999999998,-12.799999999999983,9.399999999999988,-4.399999999999996,1.7999999999999994,0.0
7,0.07,0.0,-6.199999999999992,15.59999999999998,-26.59999999999996,37.59999999999994,-40.99999999999993,37.59999999999994,-26.599999999999962,15.599999999999984,-6.199999999999994,0.0
8,0.08,0.0,21.799999999999965,-48.39999999999991,79.79999999999984,-105.19999999999982,116.19999999999978,-105.19999999999979,79.79999999999986,-48.39999999999992,21.79999999999997,0.0
9,0.09,0.0,-70.19999999999986,149.99999999999966,-233.39999999999952,301.1999999999993,-326.5999999999993,301.19999999999925,-233.39999999999952,149.99999999999966,-70.19999999999987,0.0
10,0.1,0.0,220.19999999999948,-453.599999999999,684.5999999999982,-861.1999999999978,928.9999999999977,-861.1999999999979,684.5999999999982,-453.599999999999,220.19999999999948,0.0
